date,HeV-A26 occupancy,Other occupancy,Capacity,Total occupancy
2027-02-20,1,884,1100,885
2027-02-21,1,871,1100,872
2027-02-22,1,889,1100,890
2027-02-23,1,883,1100,884
2027-02-24,1,869,1100,870
2027-02-25,2,889,1100,891
2027-02-26,3,871,1100,874
2027-02-27,4,862,1100,866
2027-02-28,5,875,1100,880
2027-03-01,6,884,1100,890
2027-03-02,7,865,1100,872
2027-03-03,9,873,1100,882
2027-03-04,11,873,1100,884
2027-03-05,14,874,1100,888
2027-03-06,17,875,1100,892
2027-03-07,21,865,1100,886
2027-03-08,25,889,1100,914
2027-03-09,29,884,1100,913
2027-03-10,32,875,1100,907
2027-03-11,36,851,1100,887
2027-03-12,41,849,1125,890
2027-03-13,51,840,1150,891
2027-03-14,64,827,1175,891
2027-03-15,81,809,1200,890
2027-03-16,101,782,1225,883
2027-03-17,123,776,1250,899
2027-03-18,146,759,1275,905
2027-03-19,166,735,1300,901
2027-03-20,183,734,1325,917
2027-03-21,201,707,1350,908
2027-03-22,223,707,1375,930
2027-03-23,250,687,1400,937
2027-03-24,282,694,1425,976
2027-03-25,319,689,1450,1008
2027-03-26,361,683,1475,1044
2027-03-27,404,679,1500,1083
2027-03-28,444,678,1525,1122
2027-03-29,483,667,1550,1150
2027-03-30,523,660,1575,1183
2027-03-31,564,661,1600,1225
2027-04-01,607,653,1625,1260
2027-04-02,652,649,1650,1301
2027-04-03,699,639,1675,1338
2027-04-04,745,643,1700,1388
2027-04-05,789,622,1725,1411
2027-04-06,831,625,1750,1456
2027-04-07,869,627,1775,1496
2027-04-08,904,610,1800,1514
2027-04-09,936,608,1800,1544
2027-04-10,966,614,1800,1580
2027-04-11,995,606,1800,1601
2027-04-12,1021,593,1800,1614
2027-04-13,1044,590,1800,1634
2027-04-14,1063,587,1800,1650
2027-04-15,1078,584,1800,1662
2027-04-16,1090,572,1800,1662
2027-04-17,1096,572,1800,1668
2027-04-18,1096,559,1800,1655
2027-04-19,1089,555,1800,1644
2027-04-20,1071,566,1800,1637
2027-04-21,1050,570,1800,1620
2027-04-22,1023,573,1800,1596
2027-04-23,991,573,1800,1564
2027-04-24,959,578,1800,1537
2027-04-25,929,581,1800,1510
2027-04-26,898,592,1800,1490
2027-04-27,865,591,1800,1456
2027-04-28,830,593,1775,1423
2027-04-29,793,601,1750,1394
2027-04-30,757,605,1740,1362
2027-05-01,728,608,1730,1336
2027-05-02,703,611,1720,1314
2027-05-03,680,623,1700,1303
2027-05-04,658,613,1675,1271
2027-05-05,628,624,1650,1252
2027-05-06,599,619,1625,1218
2027-05-07,571,617,1600,1188
2027-05-08,536,621,1575,1157
2027-05-09,498,624,1550,1122
2027-05-10,460,623,1525,1083
2027-05-11,423,626,1500,1049
2027-05-12,387,623,1466,1010
2027-05-13,352,629,1433,981
2027-05-14,318,624,1400,942
2027-05-15,285,629,1366,914
2027-05-16,252,625,1333,877
2027-05-17,222,632,1300,854
2027-05-18,200,627,1266,827
2027-05-19,187,629,1233,816
2027-05-20,176,627,1200,803
2027-05-21,165,630,1166,795
2027-05-22,157,628,1133,785
2027-05-23,152,624,1100,776
2027-05-24,148,636,1100,784
2027-05-25,144,629,1100,773
2027-05-26,141,631,1100,772
2027-05-27,139,637,1100,776
2027-05-28,138,626,1100,764
2027-05-29,136,628,1100,764
2027-05-30,136,632,1100,768
2027-05-31,137,634,1100,771
2027-06-01,138,638,1100,776
2027-06-02,140,637,1100,777
2027-06-03,142,639,1100,781
2027-06-04,145,633,1100,778
2027-06-05,146,632,1100,778
2027-06-06,146,644,1100,790
2027-06-07,146,632,1100,778
2027-06-08,146,638,1100,784
2027-06-09,147,644,1100,791
2027-06-10,149,634,1100,783
2027-06-11,151,646,1100,797
2027-06-12,154,641,1100,795
2027-06-13,156,641,1100,797
2027-06-14,157,643,1100,800
2027-06-15,156,644,1100,800
2027-06-16,155,649,1100,804
2027-06-17,154,647,1100,801
