date,province,Infected_total,lat,lon
2027-08-15,Drenthe,1675,52.9928,6.5642
2027-08-15,Flevoland,2252,52.5185,5.4714
2027-08-15,Friesland,2245,53.2012,5.7999
2027-08-15,Gelderland,7666,51.9851,5.8987
2027-08-15,Groningen,2057,53.2194,6.5665
2027-08-15,Limburg,4019,50.8514,5.69
2027-08-15,Noord-Brabant,9712,51.6978,5.3037
2027-08-15,Noord-Holland,16145,52.3874,4.6462
2027-08-15,Overijssel,4277,52.5168,6.083
2027-08-15,Utrecht,7527,52.0907,5.1214
2027-08-15,Zeeland,1287,51.4988,3.6109
2027-08-15,Zuid-Holland,20685,52.0705,4.3007
