Category,snapshot_id,Snapshot,Snapshot label,Question key,Question,Answer,Percentage
Lifestyle,1,2027-03-15,15 Mar 2027,1,Sports and physical activity,Much more,8.8
Lifestyle,1,2027-03-15,15 Mar 2027,1,Sports and physical activity,More,16.2
Lifestyle,1,2027-03-15,15 Mar 2027,1,Sports and physical activity,The same / Not apliccable,35.0
Lifestyle,1,2027-03-15,15 Mar 2027,1,Sports and physical activity,Less,26.0
Lifestyle,1,2027-03-15,15 Mar 2027,1,Sports and physical activity,Much less,14.0
Lifestyle,1,2027-03-15,15 Mar 2027,2,Eating a healthy diet,Much more,10.5
Lifestyle,1,2027-03-15,15 Mar 2027,2,Eating a healthy diet,More,19.5
Lifestyle,1,2027-03-15,15 Mar 2027,2,Eating a healthy diet,The same / Not apliccable,42.0
Lifestyle,1,2027-03-15,15 Mar 2027,2,Eating a healthy diet,Less,18.2
Lifestyle,1,2027-03-15,15 Mar 2027,2,Eating a healthy diet,Much less,9.8
Lifestyle,1,2027-03-15,15 Mar 2027,3,Alcohol consumption,Much more,7.0
Lifestyle,1,2027-03-15,15 Mar 2027,3,Alcohol consumption,More,13.0
Lifestyle,1,2027-03-15,15 Mar 2027,3,Alcohol consumption,The same / Not apliccable,56.0
Lifestyle,1,2027-03-15,15 Mar 2027,3,Alcohol consumption,Less,15.6
Lifestyle,1,2027-03-15,15 Mar 2027,3,Alcohol consumption,Much less,8.4
Lifestyle,1,2027-03-15,15 Mar 2027,4,Tabacco consumption,Much more,5.6
Lifestyle,1,2027-03-15,15 Mar 2027,4,Tabacco consumption,More,10.4
Lifestyle,1,2027-03-15,15 Mar 2027,4,Tabacco consumption,The same / Not apliccable,66.0
Lifestyle,1,2027-03-15,15 Mar 2027,4,Tabacco consumption,Less,11.7
Lifestyle,1,2027-03-15,15 Mar 2027,4,Tabacco consumption,Much less,6.3
Lifestyle,2,2027-03-29,29 Mar 2027,1,Sports and physical activity,Much more,7.7
Lifestyle,2,2027-03-29,29 Mar 2027,1,Sports and physical activity,More,14.3
Lifestyle,2,2027-03-29,29 Mar 2027,1,Sports and physical activity,The same / Not apliccable,34.0
Lifestyle,2,2027-03-29,29 Mar 2027,1,Sports and physical activity,Less,28.6
Lifestyle,2,2027-03-29,29 Mar 2027,1,Sports and physical activity,Much less,15.4
Lifestyle,2,2027-03-29,29 Mar 2027,2,Eating a healthy diet,Much more,9.8
Lifestyle,2,2027-03-29,29 Mar 2027,2,Eating a healthy diet,More,18.2
Lifestyle,2,2027-03-29,29 Mar 2027,2,Eating a healthy diet,The same / Not apliccable,42.0
Lifestyle,2,2027-03-29,29 Mar 2027,2,Eating a healthy diet,Less,19.5
Lifestyle,2,2027-03-29,29 Mar 2027,2,Eating a healthy diet,Much less,10.5
Lifestyle,2,2027-03-29,29 Mar 2027,3,Alcohol consumption,Much more,7.7
Lifestyle,2,2027-03-29,29 Mar 2027,3,Alcohol consumption,More,14.3
Lifestyle,2,2027-03-29,29 Mar 2027,3,Alcohol consumption,The same / Not apliccable,55.0
Lifestyle,2,2027-03-29,29 Mar 2027,3,Alcohol consumption,Less,15.0
Lifestyle,2,2027-03-29,29 Mar 2027,3,Alcohol consumption,Much less,8.0
Lifestyle,2,2027-03-29,29 Mar 2027,4,Tabacco consumption,Much more,5.9
Lifestyle,2,2027-03-29,29 Mar 2027,4,Tabacco consumption,More,11.1
Lifestyle,2,2027-03-29,29 Mar 2027,4,Tabacco consumption,The same / Not apliccable,66.0
Lifestyle,2,2027-03-29,29 Mar 2027,4,Tabacco consumption,Less,11.1
Lifestyle,2,2027-03-29,29 Mar 2027,4,Tabacco consumption,Much less,5.9
Lifestyle,3,2027-04-12,12 Apr 2027,1,Sports and physical activity,Much more,7.0
Lifestyle,3,2027-04-12,12 Apr 2027,1,Sports and physical activity,More,13.0
Lifestyle,3,2027-04-12,12 Apr 2027,1,Sports and physical activity,The same / Not apliccable,33.0
