Category,snapshot_id,Snapshot,Snapshot label,Question key,Question,Answer,Percentage
Resilience,1,2027-03-15,15 Mar 2027,1, I look for creative ways to deal with this situation,Strongly agree,23.8
Resilience,1,2027-03-15,15 Mar 2027,1, I look for creative ways to deal with this situation,Agree,44.2
Resilience,1,2027-03-15,15 Mar 2027,1, I look for creative ways to deal with this situation,Neither agree nor disagree ,12.8
Resilience,1,2027-03-15,15 Mar 2027,1, I look for creative ways to deal with this situation,Disagree,12.2
Resilience,1,2027-03-15,15 Mar 2027,1, I look for creative ways to deal with this situation,Strongly disagree,7.0
Resilience,1,2027-03-15,15 Mar 2027,2," I believe I have myself under control, whatever happens",Strongly agree,18.2
Resilience,1,2027-03-15,15 Mar 2027,2," I believe I have myself under control, whatever happens",Agree,33.8
Resilience,1,2027-03-15,15 Mar 2027,2," I believe I have myself under control, whatever happens",Neither agree nor disagree ,19.2
Resilience,1,2027-03-15,15 Mar 2027,2," I believe I have myself under control, whatever happens",Disagree,18.2
Resilience,1,2027-03-15,15 Mar 2027,2," I believe I have myself under control, whatever happens",Strongly disagree,10.6
Resilience,1,2027-03-15,15 Mar 2027,3,I believe I can also draw positive things from this situation,Strongly agree,15.7
Resilience,1,2027-03-15,15 Mar 2027,3,I believe I can also draw positive things from this situation,Agree,29.3
Resilience,1,2027-03-15,15 Mar 2027,3,I believe I can also draw positive things from this situation,Neither agree nor disagree ,22.0
Resilience,1,2027-03-15,15 Mar 2027,3,I believe I can also draw positive things from this situation,Disagree,20.9
Resilience,1,2027-03-15,15 Mar 2027,3,I believe I can also draw positive things from this situation,Strongly disagree,12.1
Resilience,1,2027-03-15,15 Mar 2027,4,"When I can no longer do things, I look for alternatives",Strongly agree,25.2
Resilience,1,2027-03-15,15 Mar 2027,4,"When I can no longer do things, I look for alternatives",Agree,46.8
Resilience,1,2027-03-15,15 Mar 2027,4,"When I can no longer do things, I look for alternatives",Neither agree nor disagree ,11.2
Resilience,1,2027-03-15,15 Mar 2027,4,"When I can no longer do things, I look for alternatives",Disagree,10.6
Resilience,1,2027-03-15,15 Mar 2027,4,"When I can no longer do things, I look for alternatives",Strongly disagree,6.2
Resilience,2,2027-03-29,29 Mar 2027,1, I look for creative ways to deal with this situation,Strongly agree,22.4
Resilience,2,2027-03-29,29 Mar 2027,1, I look for creative ways to deal with this situation,Agree,41.6
Resilience,2,2027-03-29,29 Mar 2027,1, I look for creative ways to deal with this situation,Neither agree nor disagree ,14.4
Resilience,2,2027-03-29,29 Mar 2027,1, I look for creative ways to deal with this situation,Disagree,13.7
Resilience,2,2027-03-29,29 Mar 2027,1, I look for creative ways to deal with this situation,Strongly disagree,7.9
Resilience,2,2027-03-29,29 Mar 2027,2," I believe I have myself under control, whatever happens",Strongly agree,16.8
Resilience,2,2027-03-29,29 Mar 2027,2," I believe I have myself under control, whatever happens",Agree,31.2
Resilience,2,2027-03-29,29 Mar 2027,2," I believe I have myself under control, whatever happens",Neither agree nor disagree ,20.8
Resilience,2,2027-03-29,29 Mar 2027,2," I believe I have myself under control, whatever happens",Disagree,19.8
Resilience,2,2027-03-29,29 Mar 2027,2," I believe I have myself under control, whatever happens",Strongly disagree,11.4
Resilience,2,2027-03-29,29 Mar 2027,3,I believe I can also draw positive things from this situation,Strongly agree,14.7
